Category	Question	Answer
Workflow & Approvals	What actions can I perform on a proposal that is pending my review?	When a proposal appears under Pending for Action, it means the workflow system has handed the file to you, and you must take the next step.<br/>The actions you see are<span style="font-weight:bold;"> based on your role</span> and the exact stage of the workflow.<br/><br/>🔵 1. Int Forward (Internal Forward)<br/>Use this when you want to send the proposal to the next person inside your own department/division.<br/><br/>🔵 2. Ext Forward (External Forward)<br/>Use this to send the file to a different department, division, or higher authority.<br/>This is used when the workflow routing goes beyond your internal chain.<br/><br/>🔵 3. Comments<br/>This allows you to record a remark without moving the file forward or backward.<br/>Comments are added to the workflow history and appear in the File Movement timeline.<br/><br/>🔵 4. Approve<br/>You will see Approve only if your role includes approval authority for this stage.<br/>Clicking Approve moves the proposal to the next approval level or to the sanctioning authority.<br/><br/>🔵 5. Reject<br/>Reject is used when the proposal cannot be accepted in its current form.<br/><br/>🔵 6. Revert<br/>Revert sends the proposal one step back in the workflow (to the officer who forwarded it to you).<br/>This is used when correction or clarification is needed at the previous stage.<br/><br/>🔵 7. Vetting<br/>If your role includes vetting, the Vetting button appears.<br/>This allows you to record vetting remarks and mark the file as vetted before forwarding.<br/><br/>🔵 8. Revise <br/>When you click Revise, the proposal form re-opens and becomes editable so you can make changes, save them, and submit it again.<br/><br/><br/>🔵9. Sanction<br/>The proposal receives final approval<br/>The workflow moves it into the “Sanctioned” category<br/>You will see this button only if the proposal has reached the sanction stage and your role includes sanctioning power.<br/><br/>📘 Other Important Tools on the Same Page<br/>📄 Document (PDF icon)<br/>Lets you view the proposal PDF submitted earlier.<br/><br/>🔁 File Movement (curved arrow icon)<br/>Shows complete tracking history:<br/>Who forwarded it<br/>Who approved<br/>Who added comments<br/>Dates and remarks<br/>Every workflow step<br/>This helps you understand exactly where the file has been and why it reached you.<br/><br/>⭐ Summary<br/><br/>When a proposal is pending your review, you can take one of these actions depending on your role and the workflow stage:<br/><span style="font-weight:bold;">Int Forward • Ext Forward • Comments • Approve • Reject • Revert • Vetting • Revise</span><br/><br/>Forward → move it to the next officer<br/>Approve → approve the proposal<br/>Reject → close it due to issues<br/>Revert → send it back one step<br/>Vetting → record vetting remarks<br/>Revise → Re-edit the proposal<br/>Comments → add notes without moving the file<br/>Document & File Movement → view the PDF and full tracking details<br/><br/>This ensures you always know exactly what action you can take and what each button does. :: /static/doc/wfa1.pdf
Workflow & Approvals	Can I get a PDF copy of a proposal or report?	Yes. The system allows you to download or generate a PDF at different stages of the workflow.<br/><br/>🌟 1. Download the Proposal PDF (from Workflow Application) 👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/workflow_application/" target="_blank">https://devirmnp.indianrailways.gov.in/workflow_application/</a></span><br/>When your proposal enters the workflow, a PDF icon appears in the Document column.<br/>Just click the red PDF button to download or view the full proposal file.<br/><br/>🌟 2. Get the Workflow Movement PDF (tracking report)<br/>To download a PDF showing the entire approval trail, including:<br/><br/>Who forwarded<br/>Who approved<br/>Remarks<br/>Status changes<br/>Dates & attachments<br/><br/>Open File Movement → click Generate PDF.<br/>This creates a full workflow history PDF for audit and record-keeping.<br/><br/>⭐ Summary<br/>Yes — you can get PDF copies:<br/>Proposal PDF → from the PDF icon in Workflow Application<br/>Workflow Movement PDF → from the File Movement → Generate PDF page<br/>Both are officially formatted and ready for submission or audit. :: /static/doc/wfa2.pdf

Communication (Mail & Chat)	How can I send a message to another user within the application?	You can communicate with any user inside the system using the built-in Message Center.<br/>This allows you to send messages, forward threads, reply, and attach documents.<br/><br/>🌟 1. Open the Message Center 👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/mail_server/" target="_blank">https://devirmnp.indianrailways.gov.in/mail_server/</a></span><br/>Go to Message Center from the left-side menu.<br/>Here you will see tabs like:<br/>Inbox<br/>Sent<br/>Important<br/>Starred<br/>Deleted<br/><br/>🌟 2. Click “Compose” to send a new message<br/>When you choose to create a new message:<br/><br/>Select the recipient from the user list<br/>Enter subject<br/>Write your message in the editor<br/>Attach files if needed (attachments are fully supported)<br/>The system automatically saves:<br/>Sender<br/>Recipient<br/>Message body<br/>Timestamp<br/>Attachments<br/><br/>🌟 3. Send the message<br/>Click Send and the message will immediately appear in:<br/>Your Sent folder<br/>The recipient’s Inbox<br/>Messages also support encryption/decryption internally, ensuring safe communication.<br/><br/>🌟 4. Reply, Forward, Star, or Mark Important<br/>After sending/receiving a message, you can:<br/>Reply within the same thread (threading is supported)<br/>Forward the whole conversation<br/>Star the message for quick access<br/>Mark as Important<br/>Delete / Restore messages<br/><br/>⭐ Summary<br/>To send a message:<br/>Open Message Center<br/>Click Compose<br/>Select user → Type message → Attach file<br/>Click Send<br/><br/>Your message will reach the user instantly inside their inbox. :: /static/doc/cmc1.pdf
Communication (Mail & Chat)	Can I organize my messages?	Yes. The Message Center 👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/mail_server/" target="_blank">https://devirmnp.indianrailways.gov.in/mail_server/</a></span> gives you several built-in tools to keep your messages neatly organized.<br/><br/>🌟 1. Use the message categories (automatic organization)<br/>Messages are arranged into different tabs, so you can easily find what you need:<br/>Inbox – All messages received<br/>Sent – Messages you have sent<br/>Important – Messages you’ve marked as important<br/>Starred – Messages you’ve flagged for quick access<br/>Deleted – Messages moved to the trash but still recoverable<br/>These folders are automatically maintained by the system.<br/><br/>🌟 2. Mark a message as Important<br/>You can mark any message as Important so it appears in the Important tab.<br/>This helps you track urgent or high-priority communication.<br/><br/>🌟 3. Star messages for quick access<br/>Starring a message places it in the Starred section.<br/>Use this to quickly return to messages you need to revisit.<br/><br/>🌟 4. Delete and Restore messages<br/>When you Delete a message, it moves to the Deleted folder<br/>You can restore it at any time (restore applies to the entire thread)<br/>This keeps your inbox clean without permanently losing anything.<br/><br/>🌟 5. Threaded conversations<br/>Messages with replies stay grouped as a single thread, making it easier to follow the conversation without losing context.<br/><br/>⭐ Summary<br/>Yes — you can organize your messages easily:<br/>Inbox / Sent / Important / Starred / Deleted tabs<br/>Mark messages as Important<br/>Star messages<br/>Delete or Restore threads<br/>Follow conversations through threaded view<br/><br/>The system ensures your communication stays clean, organized, and easy to manage.

Account & System	Why was I logged out of the system automatically?	The system logs you out automatically as a security measure. This happens mainly for session timeout and idle inactivity.<br/><br/>🌟 1. Session Timeout (Security Policy)<br/>The application uses session-based login.<br/>If you stay inactive for too long, your session expires automatically.<br/><br/>This prevents:<br/>Unauthorized access<br/>Accidental misuse if you forget to log out<br/>Others from using your account on a shared system<br/>(The session handling is managed in the backend authentication logic.)<br/><br/>🌟 2. Idle Inactivity<br/>If the system detects no activity—no clicks, no navigation, no data entry—it logs you out to protect your information.<br/><br/>🌟 3. Multiple Logins or Browser Close<br/>In some cases, if you:<br/>Log in from another browser<br/>Close the browser unexpectedly<br/>Lose your internet connection<br/>Your session may also be cleared for safety.<br/><br/>🌟 4. System Reset or Server Refresh<br/>If the admin resets sessions or the server refreshes, the system may log out all active users.<br/><br/>⭐ Summary<br/>You were automatically logged out because the system enforces session timeout and inactivity rules to protect your account.<br/>This is normal and part of the application’s security features.
Account & System	Does the system keep a log of my login activity?	Yes. The system automatically records every login and logout you perform.<br/>This is done through the built-in login history feature.<br/><br/>🌟 1. Login details are saved every time you sign in<br/>Whenever you log in, the system creates an entry in the login_history table containing:<br/><br/>Your username<br/>Session key<br/>Browser type<br/>Operating system<br/>IP address<br/>Login date & time<br/>Your user level<br/>This happens immediately during login using the login handler.<br/><br/>🌟 2. Logout is also recorded automatically<br/>When you click logout, the system updates your login record by adding the exact logout date & time.<br/>This ensures a complete session trail.<br/><br/>🌟 3. Session management is also tracked<br/>The system also stores your active session key in a session-tracking table.<br/>This prevents duplicate/multiple logins and improves security.<br/><br/>⭐ Summary<br/>Yes — the system keeps a full log of your activity:<br/>Every login<br/>Every logout<br/>Your browser, OS, IP,  session key<br/>Your user level during login<br/>All of this is stored securely to maintain accountability and user security.

Creation of userID	How to create user IDs?	You can create new User IDs from the User Master page by filling a simple form.<br/>Here’s a clear, step-by-step guide:<br/><br/>🌟 1. Open the “User Master” page in the Master tab<br/>👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/createuser/" target="_blank">https://devirmnp.indianrailways.gov.in/createuser/</a></span> <br/>Click the Add button to open the User Details window.<br/><br/>🌟 2. Fill the required fields<br/><br/>You will see the following options:<br/>Basic Details<br/>Railway* → Select the railway zone<br/>Division* → Select the division under that railway<br/>Location Type → RB / ZR-PU / DIV-UNIT / Other<br/>Role Details<br/>User Level* → Select the user’s level of access<br/>Department* → Choose the department<br/>Designation* → Select the post/designation<br/>Will Submit Proposal To → Select the officer to whom this user will send proposals<br/>Finance Associate → Select the linked finance officer<br/><br/>🌟 3. User ID is created automatically<br/>You do not type the User ID.<br/>After selecting the required details, the system automatically generates the User ID in the grey “User ID” box.<br/><br/>🌟 4. (Optional) Add HRMS Details<br/>If the user has an HRMS ID, tick the HRMS ID box and fill the employee information.<br/><br/>🌟 5. Click “Save”<br/>When you click Save:<br/>The user is created<br/>The User ID becomes active immediately<br/>You will see a success message<br/>The new user appears in the user list on the main page<br/><br/>⭐ Summary<br/>To create a User ID:<br/>User Master → Add → Fill Railway/Division/Department/Level/Designation → System auto-generates User ID → Save :: /static/doc/cu2.pdf
Creation of userID	How to create a designation?	You can add new designations from the Add Designation tab in the Designation module.<br/><br/>🌟 1. Open the Add Designation page<br/>👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/designation_request/" target="_blank">https://devirmnp.indianrailways.gov.in/designation_request/</a></span> <br/>Click on the Add Designation tab.<br/><br/>🌟 2. Fill the required fields<br/><br/>You must enter:<br/>Post Details<br/>Post* → Select Post from the dropdown<br/>Department* → Automatically filled once Post is selected<br/>Category → Auto-filled<br/>Pay Level (Min/Max) → Auto-filled<br/>Location Information<br/>Railway/Division*<br/>Station*<br/>Reporting Officer*<br/>Work Areas (if required)<br/>Work Area 1 (optional)<br/>Work Area 2 (optional)<br/>Contact Details<br/>Mobile Number*<br/>Email Address*<br/>Charge Type*<br/>Enter the purpose or description of this designation.<br/><br/>🌟 3. The “Designation” field is auto-generated<br/>As soon as you select:<br/><br/>Post<br/>Work Area 1<br/>Work Area 2<br/>The system automatically creates the Designation name and shows it in the grey “Designation” box.<br/>You DO NOT type it manually.<br/><br/>🌟 4. Choose how you want to submit<br/><br/>You will see two buttons:<br/><br/>🔵 Self Approve<br/>Use this if you are allowed to directly approve the designation.<br/><br/>🔵 Save and Forward<br/>Use this if your designation must be forwarded to another authority.<br/>If you choose this, you must select:<br/>Forward To Officer* (compulsory for this option)<br/><br/>🌟 5. Submit<br/>After clicking Self Approve or Save and Forward:<br/><br/>The designation is created<br/>It moves into the relevant tab (Forwarded / Pending / Action Taken)<br/>It also appears in All Designation list<br/><br/>⭐ Summary (chatbot-friendly)<br/>To create a Designation:<br/>Add Designation → Fill Post, Railway/Division, Station, Contact → System auto-creates Designation → Choose “Self Approve” or “Save & Forward” → Submit :: /static/doc/cu3.pdf
Creation of userID	how to create a post?	The Post Master is where you define posts that can later be assigned to users during user creation.<br/>Here’s the full, clear step-by-step guide.<br/><br/>🌟 1. Open the “Create Post” page 👉 https://devirmnp.indianrailways.gov.in/postmaster/<br/>Go to the Master section and click Post Master → Create Post.<br/>This page lets you add new posts and update existing ones.<br/><br/>The form usually includes fields like:<br/>Post Category<br/>Post Code<br/>Post Description<br/>Max/Min Level <br/>Department<br/><br/>🌟 2. Fill in the required details<br/>Enter the details of the new post:<br/><br/>🌟 3. Click “Submit”<br/>When you submit:<br/><br/>The system creates a new record in the post/designation master table<br/>The post becomes available in dropdowns during User Creation<br/>A success message appears on top of the screen<br/><br/>🌟 4. View, edit, or update existing posts<br/>Below the form, you will see a list/table of all posts.<br/>Click Edit next to the post<br/>The fields load into the form<br/>Make your changes<br/>Click save changes<br/>The Post Master record gets updated.<br/><br/>🌟 5. Post Master immediately reflects in User Creation<br/>After creating a post, it becomes available in the Designation / Post dropdown when adding a new user.<br/>This ensures your organisation’s hierarchy stays consistent. :: /static/doc/cu1.pdf

Message Center	How do I delete a message?	You can delete any message from your Message Center using the Delete option.<br/><br/>Here’s how:<br/><br/>🌟 1. Open the Message Center<br/>👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/mail_server/" target="_blank">https://devirmnp.indianrailways.gov.in/mail_server/</a></span> <br/>Go to the tab where your message is located (Inbox, Sent, Starred, Important).<br/><br/>🌟 2. Select the message you want to delete<br/>Open the message or select it from the list.<br/><br/>🌟 3. Click the “Delete” button<br/>Use the Delete option shown for that message.<br/>Once you delete it:<br/>The message moves to the Deleted tab<br/>It is not removed permanently<br/>You can restore it anytime from the Deleted section<br/><br/>⭐ Summary<br/>To delete a message:<br/>Message Center → Open message → Click Delete → Message moves to Deleted folder 
Message Center	What is shown in the Chats section?	The Chats section shows all your one-to-one chats and group chats inside the system.<br/>It works like an internal chat window where you can quickly message colleagues.<br/><br/>Here’s exactly what you will see:<br/><br/>🌟 What appears in the Chats list?<br/>Each chat entry shows:<br/>• User or Group Name<br/>Who the conversation is with — either a single user or a group.<br/>• Last Message Preview<br/>A short preview of the most recent text or attachment.<br/>• Date & Time of Last Message<br/>So you can see when the latest activity happened.<br/>• Unread Message Count<br/>A small badge showing how many unread messages you still have in that chat.<br/><br/>🌟 What kinds of chats are shown?<br/><br/>The Chats section displays:<br/>✔ One-to-One Chats<br/>Private conversations between you and another user.<br/>✔ Group Chats<br/>If you are a member of any group, they appear here with the group name.<br/><br/>🌟 How are they ordered?<br/>Chats are automatically sorted by the most recent message, with unread conversations shown first.<br/><br/>🌟 Summary<br/>The Chats section shows:<br/>Your individual chats<br/>Your group chats<br/>Last message preview<br/>Date & time of last activity<br/>Unread message count<br/><br/>It’s your quick-access list for all ongoing conversations inside the system.

